2,1461,KGZ,Natalia NESHCHERET,9.10,1st Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
3,1913,USA,Haojie WU,9.01,1st Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
4,1287,HKG,SENG Choa Ee Tricia,8.98,1st Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
5,1272,HKG,LAU Sum Wing,8.98,1st Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
6,1260,HKG,CHENG Hsueh Chih,8.94,2nd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
7,1280,HKG,NG Kit Yee,8.93,2nd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
8,1275,HKG,LI So Ling Christina,8.91,2nd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
9,1286,HKG,PANG Yuk Mui,8.90,2nd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
10,1953,USA,Shiqiong Susan YOUNG,8.90,2nd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
11,1618,ROU,Vladut Roxana Ileana,8.86,2nd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
12,1295,HKG,YAN Hiu Kwan,8.85,2nd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
13,1043,AUS,Sally Yanhui Lin,8.85,2nd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
14,1040,AUS,May Gao,8.83,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
15,1298,HKG,YOO Hwa Soo,8.82,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
16,1259,HKG,CHAN Yuen Kwan,8.82,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
17,1494,MAC,WONG WUN U,8.82,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
18,1301,HKG,YUNG Sin Yee Cynthia,8.81,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
19,1036,AUS,Cheryl Sam Toi,8.81,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
20,1568,NZL,Diana Kam Yoke Lau,8.80,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
21,1375,JPN,CHIAKI MARUOKA,8.79,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
22,1695,RUS,Tatiana IUREVA,8.79,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
23,1271,HKG,LAU Kit Ming Tammy,8.78,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
24,1274,HKG,LEUNG Yuen Nga Barbara,8.78,3rd Category Prize,International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei

Table 10,"","","","","","","",""
Rank,BIB,Team,Athlete,Score,Remark,"","",""
26,1267,HKG,KONG Yee Wan,8.77,"",International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
27,1035,AUS,Angela Jia Li Mak,8.77,"",International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
28,1600,POL,Ewa Mechelewska,8.76,"",International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
29,1281,HKG,NG Lai Ling Maggie,8.75,"",International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
30,1264,HKG,CHOW Wan Ming Mary,8.74,"",International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
31,1262,HKG,CHIH Ellen,8.74,"",International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
32,1283,HKG,NG Shiow Lan Liza,8.72,"",International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
33,1257,HKG,BALEROS Henriette Patricia,8.71,"",International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
34,1258,HKG,CHAN Sau Lan Cecilia,8.71,"",International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
35,1634,RSA,Catharina Louisa Riana VAN COLLER,8.70,"",International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
36,1426,JPN,YASUYO ATSUMI,8.70,"",International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
37,1958,USA,Weihua JIANG,8.68,"",International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
38,1323,IRI,soad kaheni,8.66,"",International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
39,1041,AUS,Rebecca Pui Ting Ho,8.65,"",International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
40,1054,BOL,Cecilia Pinedo Soruco,8.64,"",International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei
41,1261,HKG,CHEUNG Yat Wah Carol,8.64,"",International Women's Group D Traditional Yang Style Taijiquan,Taolu,Emei

Table 11,"","","","","","","",""
Rank,BIB,Team,Athlete,Score,Remark,"","",""
1,1127,CHN,HUI HETONG,9.27,1st Category Prize,International Men's Group D Traditional Yang Style Taijiquan,Taolu,Emei
2,1221,GER,Eric Jonischkeit,9.12,1st Category Prize,International Men's Group D Traditional Yang Style Taijiquan,Taolu,Emei
3,1565,NZL,David John Thew,9.11,2nd Category Prize,International Men's Group D Traditional Yang Style Taijiquan,Taolu,Emei
4,1166,EGY,Mohamed Kamel Abdelhady Saad,9.02,2nd Category Prize,International Men's Group D Traditional Yang Style Taijiquan,Taolu,Emei
5,1161,EGY,Hassan khalifa Zayed Mahmoud,9.01,2nd Category Prize,International Men's Group D Traditional Yang Style Taijiquan,Taolu,Emei
6,1177,ESP,ELOY ALBERTO NINO ORTEGA,8.87,3rd Category Prize,International Men's Group D Traditional Yang Style Taijiquan,Taolu,Emei
7,1669,RUS,Sergey POPOV,8.85,3rd Category Prize,International Men's Group D Traditional Yang Style Taijiquan,Taolu,Emei
8,1072,BRA,Marcio Luiz ZAQUEU,8.85,3rd Category Prize,International Men's Group D Traditional Yang Style Taijiquan,Taolu,Emei
9,1031,AUS,Samuel Man,8.84,3rd Category Prize,International Men's Group D Traditional Yang Style Taijiquan,Taolu,Emei
10,1251,HKG,TIK Hoffman Ho Kit,8.84,3rd Category Prize,International Men's Group D Traditional Yang Style Taijiquan,Taolu,Emei
11,1243,HKG,MOK Kim Tong,8.83,"",International Men's Group D Traditional Yang Style Taijiquan,Taolu,Emei
12,1068,BRA,Hemerson Carvalho de OLIVEIRA,8.81,"",International Men's Group D Traditional Yang Style Taijiquan,Taolu,Emei
13,1594,POL,Piotr Miaskiewicz,8.81,"",International Men's Group D Traditional Yang Style Taijiquan,Taolu,Emei
14,1317,IRI,mahdi ramezanzadeh,8.79,"",International Men's Group D Traditional Yang Style Taijiquan,Taolu,Emei
15,1238,HKG,LAU King Yuen,8.76,"",International Men's Group D Traditional Yang Style Taijiquan,Taolu,Emei
16,1252,HKG,TSANG Kwong Choi,8.74,"",International Men's Group D Traditional Yang Style Taijiquan,Taolu,Emei
17,1192,FRA,KLINGER Michael,8.63,"",International Men's Group D Traditional Yang Style Taijiquan,Taolu,Emei

Table 12,"","","","","","","",""
